('python', 0.02042914517791738)
("we're", 0.017781807322098504)
('element', 0.013597852658075327)
('data', 0.012257487106750427)
('7', 0.007268608348814918)
('item', 0.007069621678977087)
('maximum', 0.006128743553375214)
('max', 0.006128743553375214)
('structure', 0.006057173624012432)
('size', 0.005165466720121193)
('code', 0.005024936544006345)
('logic', 0.005024936544006345)
('tail', 0.004169984840094738)
('pointer', 0.004085829035583476)
('8', 0.0033499576960042297)
('variable', 0.0033499576960042297)
('elements', 0.0031379659980173827)
('returns', 0.0031379659980173827)
("it's", 0.003099280032072716)
('method', 0.002912222714030829)
('supports', 0.0028278486715908346)
('index', 0.0028278486715908346)
('sized', 0.0027122119848646863)
('list', 0.002501990904056843)
("let's", 0.002501990904056843)
('based', 0.002422869449604973)
('x', 0.0023548024613972898)
('operation', 0.0023548024613972898)
('tight', 0.0023548024613972898)
('location', 0.002042914517791738)
('quiz', 0.002042914517791738)
('option', 0.002042914517791738)
('units', 0.002042914517791738)
('constructor', 0.002042914517791738)
('storage', 0.002042914517791738)
('tricky', 0.002042914517791738)
('current', 0.0018122120328695594)
('stored', 0.0016749788480021149)
('checks', 0.0016749788480021149)
('array', 0.0015698683075981933)
('similar', 0.0015698683075981933)
('temporary', 0.0015698683075981933)
('similarly', 0.0014139243357954173)
('site', 0.0014139243357954173)
('bother', 0.0014139243357954173)
('function', 0.0014139243357954173)
('demonstration', 0.0014139243357954173)
('return', 0.0013774577920323183)
('empty', 0.0013774577920323183)
('using', 0.0013561059924323431)
('test', 0.0013561059924323431)
('object', 0.0012509954520284214)
('indicate', 0.0012114347248024864)
('problem', 0.0012114347248024864)
('10', 0.0012114347248024864)
('types', 0.0012114347248024864)
('representation', 0.0012114347248024864)
('store', 0.0011648890856123316)
('have', 0.0010916078026194326)
("that's", 0.0010725443650827149)
('operations', 0.0010459886660057942)
('stores', 0.0010459886660057942)
('exercises', 0.0010459886660057942)
('wrap', 0.0010459886660057942)
('contains', 0.0010459886660057942)
('fixed', 0.0010330933440242387)
('objects', 0.0009919123527551178)
('point', 0.0009356638308166563)
('supported', 0.0009061060164347797)
('plays', 0.0009061060164347797)
('lecture', 0.0009061060164347797)
('equals', 0.0009061060164347797)
('type', 0.0009061060164347797)
('works', 0.0008339969680189476)
('argument', 0.0008313475033153772)
('passed', 0.0008313475033153772)
('ahead', 0.0007849341537990967)
('3', 0.0007849341537990967)
('region', 0.0007849341537990967)
('actual', 0.0007849341537990967)
("they're", 0.0007849341537990967)
('pointed', 0.0006887288960161592)
('couple', 0.0006887288960161592)
('equal', 0.0006887288960161592)
('check', 0.0006887288960161592)
('determine', 0.0006780529962161716)
('copy', 0.0006780529962161716)
('largest', 0.0006780529962161716)
('trivial', 0.0005824445428061658)
('reserve', 0.0005824445428061658)
('special', 0.0005824445428061658)
('useful', 0.0005824445428061658)
('error', 0.0005824445428061658)
('1', 0.0005824445428061658)
('slightly', 0.0005824445428061658)
("don't", 0.0005542316688769181)
('bit', 0.0005542316688769181)
('increase', 0.0004959561763775589)
('increased', 0.0004959561763775589)
('faster', 0.0004959561763775589)
('add', 0.0004959561763775589)
('number', 0.0004678319154083282)
('first', 0.00044156532797865887)
('pass', 0.0004290177460330859)
('able', 0.0004290177460330859)
("i'm", 0.0004169984840094738)
('support', 0.0004169984840094738)
('serve', 0.0004169984840094738)
('cases', 0.0004169984840094738)
('value', 0.0004169984840094738)
('queue', 0.00035390199637023594)
('returned', 0.0003443644480080796)
('simply', 0.0003443644480080796)
('finally', 0.0003443644480080796)
('purposes', 0.0003443644480080796)
('example', 0.0003443644480080796)
('just', 0.00031188794360555215)
('its', 0.00031188794360555215)
('up', 0.00031188794360555215)
('never', 0.00031188794360555215)
('use', 0.00031188794360555215)
('sort', 0.00031188794360555215)
('need', 0.00031188794360555215)
